city_id,name,geometry
ghs-fua_4941,Bandarban,POINT (92.2201785649168 22.202530178502965)
ghs-fua_4966,রামু Ramu,POINT (92.02531216957536 21.437048987883188)
ghs-fua_4991,Teknaf,POINT (92.29705908853632 20.86569888308828)
ghs-fua_517,Pirganj (পীরগঞ্জ),POINT (88.36024791993519 25.86099836954723)
ghs-fua_660,Bholarhat,POINT (88.20860281072677 24.942064367947495)
ghs-fua_796,UNNAMED,POINT (88.64768346735008 25.85968860226297)
ghs-fua_926,Burimari,POINT (88.98272039180259 26.38325943707696)
ghs-fua_15,Sofia,POINT (23.29553560173778 42.68246510905825)
ghs-fua_206,Pleven,POINT (24.60113216614936 43.409044443390535)
ghs-fua_368,Plovdiv,POINT (24.743178246811485 42.139188909022494)
ghs-fua_518,Ruse,POINT (26.00180037935076 43.840194811247024)
ghs-fua_661,Stara Zagora,POINT (25.63716933862673 42.42407321557023)
ghs-fua_797,Burgas,POINT (27.449960984450936 42.50857580438581)
ghs-fua_927,Varna,POINT (27.89251387841996 43.24259930400591)
ghs-fua_16,Manama,POINT (50.54887741050156 26.134831167890496)
ghs-fua_17,Nassau,POINT (-77.37151569019687 25.038848226858207)
ghs-fua_18,Banja Luka,POINT (17.22041544137528 44.80504737822314)
ghs-fua_519,Zenica,POINT (17.93469990384548 44.19076418590014)
ghs-fua_662,Mostar,POINT (17.816624569706157 43.32956460649272)
ghs-fua_798,Sarajevo,POINT (18.30237455751138 43.87385748109297)
ghs-fua_928,Tuzla,POINT (18.65675484268711 44.53094545512749)
ghs-fua_1050,Barysaw,POINT (28.553073480047498 54.22732971113737)
ghs-fua_1164,Babruysk,POINT (29.23052660283481 53.144677855751375)
ghs-fua_1273,Vitebsk,POINT (30.16508662284864 55.207094650067674)
ghs-fua_1376,Orsha,POINT (30.413954973220182 54.53650734112101)
ghs-fua_1475,Mahilyow,POINT (30.3485189464314 53.887405415924476)
ghs-fua_1569,Homel,POINT (30.93536861165939 52.457662251145116)
ghs-fua_19,Hrodna,POINT (23.869338500239955 53.663660711794385)
ghs-fua_208,Brest,POINT (23.71332223342084 52.10366243615238)
ghs-fua_370,Baranovichi,POINT (26.012370010408834 53.13228581945676)
ghs-fua_520,Maladziečna,POINT (26.84790041932622 54.30741595077436)
ghs-fua_663,Pinsk,POINT (26.112055012416217 52.15185018055631)
ghs-fua_799,Minsk,POINT (27.610621893736592 53.84297495263902)
ghs-fua_929,Zhodzina,POINT (28.32496488465544 54.10563467838741)
ghs-fua_20,Belize City,POINT (-88.21383859618896 17.50182506629071)
ghs-fua_1051,Potosí,POINT (-65.75522131993833 -19.58506332391922)
ghs-fua_1165,Sucre,POINT (-65.26478548311641 -19.03279442813539)
ghs-fua_1377,Tarija,POINT (-64.7308404773342 -21.53064308117911)
