iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEN,forestry-and-land-use,net-shrubgrass,,4561369,Tambacounda,,,,,6149782.7896061,,,,
SEN,forestry-and-land-use,net-forest-land,,8298001,Senegal,,,,8187543.884744,,,,,
SGP,transportation,international-aviation,international,3169099,Singapore Changi Airport,,12381872.562652756,,13520998.592866056,,,,9059016.03121696,
SGP,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144107,ExxonMobil Singapore Refinery,5208812.694,5370684.787,5746459.288,5630836.364,,,,,
SGP,fossil-fuel-operations,oil-and-gas-refining,Medium Conversion,3144109,Singapore Refining Corporation Refinery,2691302.987,,,,,,,,
SLB,forestry-and-land-use,net-forest-land,,8298010,Solomon Islands,,3645685.46135,,4678671.37869,9989338.27766,,,,
SLE,forestry-and-land-use,net-forest-land,,8297577,Eastern,,,,13680040.5126,,,,,
SLE,forestry-and-land-use,net-forest-land,,8297578,Northern,,,17616635.436376,,,,,,
SLE,forestry-and-land-use,net-forest-land,,8297579,Southern,,,6084543.951202,,,,,,
SLE,forestry-and-land-use,net-forest-land,,8298013,Sierra Leone,,,19626870.45559,6947134.86098,,9063027.25657,,,
SLE,forestry-and-land-use,net-forest-land,,8375436,Kenema,,,,4680326.819237,,,,,
SLE,forestry-and-land-use,net-forest-land,,8375437,Kono,,,,5286942.158219,,,,,
SLE,forestry-and-land-use,net-forest-land,,8375438,Bombali,,,6429093.123098,,,,,,
SLE,forestry-and-land-use,net-forest-land,,8375440,Koinadugu,,,5616938.469577,,,,,,
SLV,agriculture,cropland-fires,,10720884,El Salvador,1393155.38864998,,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4556447,Somalia,,76367498.383553,26632909.576742,,,82721096.362931,83269639.505019,,
SOM,forestry-and-land-use,net-shrubgrass,,4561528,Bay,,12851070.855582,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4561531,Galguduud,,,7661334.4637569,,,9442568.3783008,10043179.9469102,,
SOM,forestry-and-land-use,net-shrubgrass,,4561533,Gedo,,14520894.3248656,,,,,11616227.4345346,,
SOM,forestry-and-land-use,net-shrubgrass,,4561535,Hiiraan,,7820197.1145901,,,,,7813158.2335985,,
SOM,forestry-and-land-use,net-shrubgrass,,4561537,Jubbada Dhexe,,5807870.7181113,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4561539,Jubbada Hoose,,14338065.422418,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4561541,Mudug,,,11828720.9051294,,,28248638.3697097,13421269.7537993,,
SOM,forestry-and-land-use,net-shrubgrass,,4561543,Nugaal,,,,,7456096.0090805,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4561554,Shabeellaha Hoose,,4334878.328545,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4561560,Togdheer,,3821940.5992939,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891579,Buur Xakaba,,5154268.9794009,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891587,Diinsoor,,3915940.5409762,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891664,Baar-Dheere,,5833364.705445,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891716,Buulo Burdo,,4270143.7874605,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891742,Saakow,,3803107.8036081,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891749,Afmadow,,9501931.8635871,,,,,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891777,Gaalkacayo,,,,,,9047342.861815,,,
SOM,forestry-and-land-use,net-shrubgrass,,4891791,Hobyo,,,4252578.3498427,,,13434747.9069628,,,
SOM,forestry-and-land-use,net-forest-land,,8297613,Jubbada Hoose,,7666853.7416216,,,,,,,
SOM,forestry-and-land-use,net-forest-land,,8298021,Somalia,,14203353.521678,,,,,10414367.680482,,
SRB,forestry-and-land-use,net-forest-land,,8297648,Zlatiborski,,,4158874.807511,,,,,,
SRB,forestry-and-land-use,net-forest-land,,8298027,Serbia,,,39226123.98773,,12871493.98853,,10426128.57375,,
SRB,power,electricity-generation,coal,25450762,Nikola Tesla power station,,,,,17288000.0,18041000.0,16218000.0,16978000.0,
SSD,forestry-and-land-use,net-shrubgrass,,4556455,South Sudan,,43725473.462864,13310494.166877,6601694.093141,,180157927.155498,,14935404.712407,
SSD,forestry-and-land-use,net-shrubgrass,,4561643,Central Equatoria,,,,,,8384082.6034257,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561644,Eastern Equatoria,,15384920.1931654,,,,13775891.662842,,8990279.1802035,
SSD,forestry-and-land-use,net-shrubgrass,,4561645,Jungoli,,34696244.962144,,,,60094609.256208,,22067680.401525,
SSD,forestry-and-land-use,net-shrubgrass,,4561646,Lakes,,,,,,14412865.2397885,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561648,Unity,,9723294.4847922,4684869.1167184,,,13323206.5984857,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561650,Upper Nile,,,12423911.1987061,,,36851150.5427747,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561652,Warap,,,,,,6935369.7837993,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561655,West Bahr-al-Ghazal,,,4714018.04812,5772052.2221424,,10193680.0178888,,,
SSD,forestry-and-land-use,net-shrubgrass,,4561656,West Equatoria,,,,12160487.3570276,,12213107.3669184,,13278209.6391662,
SSD,forestry-and-land-use,net-shrubgrass,,4893091,Amatonge,,,,,,,,6447888.7717808,
SSD,forestry-and-land-use,net-shrubgrass,,4893093,Kapoeta,,12157755.9446028,,,,,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893100,Akobo,,5537387.7705017,,,,9232229.773868,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893109,Nahr Atiem,,7107234.373161,,,,7701548.5298724,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893112,Pibor,,14111325.8354059,,,,28389175.6153717,,15318999.7581693,
SSD,forestry-and-land-use,net-shrubgrass,,4893114,Wat,,4416524.8239125,,,,,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893118,Rumbek,,,,,,6832149.7243922,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893135,Al Leiri,,4921979.2378604,,,,,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893142,Rabkona,,4013620.3536753,,,,,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893147,Baleit,,,4688590.5967798,,,6845895.3218862,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893158,Sobat,,,,,,6613932.01947249,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893179,Raja,,,,,,6578432.4078468,,,
SSD,forestry-and-land-use,net-shrubgrass,,4893197,Tombura,,,,4179681.0474243,,,,,
SSD,forestry-and-land-use,net-forest-land,,8297649,Central Equatoria,,,,11196146.003038,,12581634.544654,,11334666.001981,
SSD,forestry-and-land-use,net-forest-land,,8297650,Eastern Equatoria,,,5783183.728194,,,,,,
SSD,forestry-and-land-use,net-forest-land,,8297651,Jungoli,,,,,,14732148.0474077,,,
SSD,forestry-and-land-use,net-forest-land,,8297652,Lakes,,,,,,8878416.2491357,,,
SSD,forestry-and-land-use,net-forest-land,,8297655,Upper Nile,,,,,,11066563.2572185,,,
SSD,forestry-and-land-use,net-forest-land,,8297657,West Bahr-al-Ghazal,,,12962235.889437,15019141.199331,,28650612.234123,,,
SSD,forestry-and-land-use,net-forest-land,,8297658,West Equatoria,,,,34583899.419745,,35430772.125297,,18126943.355161,
SSD,forestry-and-land-use,net-forest-land,,8298030,South Sudan,,,16323485.00957,67179066.06122,,129503698.67077,,34822697.47468,
SSD,forestry-and-land-use,net-forest-land,,8376952,Nahr Yei,,,,7529885.2389302,,6703707.787157,,7377901.6131237,
SSD,forestry-and-land-use,net-forest-land,,8376954,Amatonge,,,4150030.0610945,,,,,,
SSD,forestry-and-land-use,net-forest-land,,8376989,Raja,,,7420938.925929,9378871.739967,,18760011.562463,,,
SSD,forestry-and-land-use,net-forest-land,,8376990,Wau,,,5541296.963508,5640269.4593636,,9890600.671659,,,
SSD,forestry-and-land-use,net-forest-land,,8376991,Meridi,,,,10080490.788622,,11600157.197886,,,
SSD,forestry-and-land-use,net-forest-land,,8376992,Mundri,,,,5523845.3179679,,,,,
SSD,forestry-and-land-use,net-forest-land,,8376993,Tombura,,,,9750254.17755,,9360776.845828,,,
SSD,forestry-and-land-use,net-forest-land,,8376994,Yambio,,,,9229309.135605,,8641813.189001,,,
SSD,forestry-and-land-use,net-wetland,,4550423,Jungoli,,5909313.431048,,,,13384266.4816878,,,
SSD,forestry-and-land-use,net-wetland,,4555192,South Sudan,,10001754.3788129,5756188.1717275,,,21942866.217599,,,
SSD,forestry-and-land-use,net-wetland,,4781160,Ayod,,5106748.76210832,,,,,,,
SUR,forestry-and-land-use,net-forest-land,,8297676,Sipaliwini,,,,4497379.22671,,,9584232.44177,,
SUR,forestry-and-land-use,net-forest-land,,8298035,Suriname,,,,,,,13358283.1706,,
SVK,forestry-and-land-use,net-forest-land,,8297681,Banskobystrický,,,4317582.182003,,,,,,
SVK,forestry-and-land-use,net-forest-land,,8297692,Prešovský,,4869589.55828,,,,,,,
SVK,forestry-and-land-use,net-forest-land,,8298038,Slovakia,,5937657.85563,13388107.14546,,,,16028728.27865,,
SVN,forestry-and-land-use,net-forest-land,,8298041,Slovenia,,,9207158.992091,,,,,,
